"gene_ensembl_ID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene" "DE"
"ENSMUSG00000072620" 516.142247829694 -10.8332296161388 1.77413613953795 -6.10619972994869 1.02031314457883e-09 8.64052195179148e-08 "Slfn2" TRUE
"ENSMUSG00000022868" 2102.41765259601 11.1192314687118 1.82359973417176 6.09740792365373 1.07802175481874e-09 9.03071614100274e-08 "Ahsg" TRUE
"ENSMUSG00000079018" 7714.44736826346 -10.8151414712966 1.77778277083149 -6.08349999153056 1.17586924011658e-09 9.76761969626253e-08 "Ly6c1" TRUE
"ENSMUSG00000014599" 754.454349644142 -11.2397513910932 1.85369853226712 -6.0634192644835 1.33257688388596e-09 1.09009831745564e-07 "Csf1" TRUE
"ENSMUSG00000024054" 754.006273624276 -11.0979147278559 1.83037138650405 -6.06320379005298 1.33436415186781e-09 1.09009831745564e-07 "Smchd1" TRUE
"ENSMUSG00000034459" 335.61190892198 -11.0538708263321 1.83218757292207 -6.03315456872288 1.60789482599222e-09 1.29219840284009e-07 "Ifit1" TRUE
"ENSMUSG00000052684" 5034.23348139619 -10.4930756027143 1.73898469795761 -6.03402411478267 1.59926183130911e-09 1.29219840284009e-07 "Jun" TRUE
"ENSMUSG00000027514" 434.80776985276 -11.3846145598835 1.88963835341496 -6.02475840909407 1.69362411699225e-09 1.350118902941e-07 "Zbp1" TRUE
"ENSMUSG00000071178" 645.583201685143 13.2407528985381 2.20600782799735 6.00213323384181 1.94741794281953e-09 1.54001810918169e-07 "Serpina1b" TRUE
"ENSMUSG00000062014" 515.697470479868 -11.5082369154988 1.91959462135579 -5.99513917546333 2.0331124401039e-09 1.59502511670056e-07 "Gmfb" TRUE
"ENSMUSG00000016494" 900.416527226863 -8.82326779366565 1.47477395708112 -5.98279332998848 2.19343008555554e-09 1.70724853509578e-07 "Cd34" TRUE
"ENSMUSG00000021263" 1089.30186726035 -12.7970310053848 2.14037014452336 -5.9788868939931 2.24667476155357e-09 1.73502968890289e-07 "Degs2" TRUE
"ENSMUSG00000026822" 3302.39424179708 -14.2607390050886 2.39759047516054 -5.94794613710405 2.71527907243267e-09 2.08066152178271e-07 "Lcn2" TRUE
"ENSMUSG00000027951" 341.031879723352 -10.5029285294165 1.77247353264681 -5.92557707405235 3.1120257754694e-09 2.36633652234731e-07 "Adar" TRUE
"ENSMUSG00000035545" 436.681382682816 -10.8002054532376 1.82319292442463 -5.92378640162065 3.14612052509816e-09 2.37400010615231e-07 "Leng8" TRUE
"ENSMUSG00000069305" 195.44772140624 10.4835349972898 1.77339884976145 5.9115494513262 3.38904484883135e-09 2.5379324492953e-07 NA TRUE
"ENSMUSG00000029372" 15088.1956291555 10.4394865560752 1.76844823536856 5.90319034919307 3.56538496755425e-09 2.64991206047172e-07 "Ppbp" TRUE
"ENSMUSG00000020358" 953.200965748038 -10.5327790388264 1.79486838454869 -5.8682737572843 4.40355751574159e-09 3.24844522709743e-07 "Hnrnpab" TRUE
"ENSMUSG00000026867" 1128.20594065344 -9.82681726493821 1.67617320750046 -5.86265024459623 4.55537101037256e-09 3.33554388426168e-07 "Gapvd1" TRUE
"ENSMUSG00000032593" 79.020519119326 24.8342666813944 4.24821562818235 5.84581124287705 5.04105416776853e-09 3.66403091532294e-07 "Amigo3" TRUE
"ENSMUSG00000019987" 1219.14964752932 14.0555027033557 2.40619282505426 5.8413866740039 5.17680892103456e-09 3.73523767769537e-07 "Arg1" TRUE
"ENSMUSG00000028211" 496.987318070677 -11.5882810694462 1.98541964632897 -5.83669104457229 5.32477005868646e-09 3.78671597338961e-07 "Trp53inp1" TRUE
"ENSMUSG00000035212" 518.077347416248 -8.21006104316098 1.40643265356622 -5.837507414481 5.29875373987377e-09 3.78671597338961e-07 "Leprot" TRUE
"ENSMUSG00000020570" 389.432461145366 -10.4901759547979 1.79805082852762 -5.83419322099369 5.40514564026258e-09 3.80011492543901e-07 "Sypl1" TRUE
"ENSMUSG00000025138" 507.653654999656 -10.2922750572003 1.76427299183829 -5.83372023763524 5.42049776921498e-09 3.80011492543901e-07 "Sirt7" TRUE
"ENSMUSG00000059900" 329.567259952905 10.4750795398892 1.7997716163105 5.8202271026826 5.87677218354925e-09 4.09097838270312e-07 "Tmem40" TRUE
"ENSMUSG00000018736" 484.169885810709 -9.97228843135082 1.7177369588884 -5.80548050721585 6.41816717486856e-09 4.43661416248781e-07 "Ndel1" TRUE
"ENSMUSG00000053641" 853.428895920021 -9.06191239262499 1.5620930217656 -5.80113493009688 6.58675697251001e-09 4.52153421342093e-07 "Dennd4a" TRUE
"ENSMUSG00000028060" 267.183795702954 -10.0553130477976 1.73769314168711 -5.7865872901098 7.18307680677086e-09 4.89687684378827e-07 "Khdc4" TRUE
"ENSMUSG00000086316" 246.17268956858 -10.4215807406591 1.80214607324374 -5.78287237388087 7.34357772526042e-09 4.97200450782187e-07 "Nbdy" TRUE
"ENSMUSG00000105096" 533.878835502368 -11.7403907282639 2.03144844358987 -5.77932005378236 7.50031261113903e-09 5.02039075757752e-07 "Gbp10" TRUE
"ENSMUSG00000001870" 1518.58219780831 10.9722592131609 1.89865813637045 5.77895462220277 7.51661944483027e-09 5.02039075757752e-07 "Ltbp1" TRUE
"ENSMUSG00000035356" 2910.02962505009 -10.4762739311147 1.81898412884313 -5.7594092026397 8.44088487672305e-09 5.59987563801391e-07 "Nfkbiz" TRUE
"ENSMUSG00000008200" 417.262991285836 -10.3179138025318 1.79308425001321 -5.75428276861822 8.70104105151688e-09 5.73398605294963e-07 "Fnbp4" TRUE
"ENSMUSG00000020101" 3218.60589980322 -11.2185064725072 1.95050187474529 -5.75159994346181 8.84027942604789e-09 5.787163054734e-07 "Vsir" TRUE
"ENSMUSG00000070565" 512.115206947203 -11.342285201114 1.97532301156513 -5.74199011235489 9.35702871001337e-09 6.08514663147909e-07 "Rasal2" TRUE
"ENSMUSG00000034751" 554.775490677919 -10.9108227399888 1.90082480943347 -5.74004647132139 9.46505742126384e-09 6.11270318338464e-07 "Mast4" TRUE
"ENSMUSG00000043279" 1133.45129164316 -9.91112136497772 1.72697361798098 -5.73901144857378 9.52307830289564e-09 6.11270318338464e-07 "Trim56" TRUE
"ENSMUSG00000096010" 26.8632054287844 -16.4367106318652 2.86558018307574 -5.73591021076335 9.69900373334828e-09 6.18546141317082e-07 NA TRUE
"ENSMUSG00000049551" 146.298964661101 -24.3083516979508 4.24715140308977 -5.72344835182156 1.04383310896155e-08 6.61428864236215e-07 "Fzd9" TRUE
"ENSMUSG00000026914" 355.553597717275 -10.8247692514561 1.89172212433604 -5.72217722264861 1.05167518851226e-08 6.62153454677944e-07 "Psmd14" TRUE
"ENSMUSG00000040483" 267.535956780985 -10.5825706674602 1.85321819789133 -5.71037489244466 1.12727578945899e-08 7.05260834101399e-07 "Xaf1" TRUE
"ENSMUSG00000025917" 783.89035467649 -10.6288981603704 1.86410573563302 -5.70187514430933 1.18496611903353e-08 7.36691200418013e-07 "Cops5" TRUE
"ENSMUSG00000038370" 507.739097386643 -11.6917182853234 2.05326165837517 -5.69421741142119 1.23939073534242e-08 7.65711088678736e-07 "Pcp4l1" TRUE
"ENSMUSG00000003299" 282.731947987111 -10.5817093997475 1.86124329992841 -5.68529079468248 1.30590258590942e-08 7.97327227985617e-07 "Mrpl4" TRUE
"ENSMUSG00000029655" 595.816907672811 -9.93350879161125 1.74726162061483 -5.68518685147782 1.30669712628902e-08 7.97327227985617e-07 "N4bp2l2" TRUE
"ENSMUSG00000022964" 538.981339897872 -11.2747051603058 1.98541430303826 -5.67876696720288 1.35669159674483e-08 8.22754382443107e-07 "Tmem50b" TRUE
"ENSMUSG00000062488" 343.22678452868 -11.095932071944 1.96071071021765 -5.65913778821163 1.52135375834004e-08 9.16986701292154e-07 "Ifit3b" TRUE
"ENSMUSG00000045608" 172.064832651742 -24.0281708379681 4.24717013369866 -5.65745427698302 1.53634727203477e-08 9.20411683882647e-07 "Dbx2" TRUE
